Name,Latitude,Longitude
Ålesund,62.47200366666333,6.150465836655355
Stranda,62.28940252541348,7.253457896146282
Trondheim,63.431938357976264,10.7288606087749
Geilo,60.55157665513521,8.35251690089558
Bergen,60.38564282348788,5.590017308806167
Hamar,60.76505792228173,11.253636555231264
Stavanger,58.96316276395741,6.157478027926838
Drammen,59.74184528432759,10.34817091931637
Oslo,59.92339129647997,11.070704176452498
Lillehammer,61.10197675481832,10.895231814005152
Beitostølen,61.23140124165816,9.171473900551822
Kristiansand,58.139255110519315, 8.221858758092178
Otta,61.76632064461844, 9.707189003073944
Haugesund,59.442004132165565, 5.784865607417585
Kongsberg,59.65126420917411, 9.397531893549147
Førde,61.43741775182754, 6.0842008056032
Molde,62.72280149270535, 7.498301617873941
Sogndalsfjøra,61.229454120606874, 7.384760677466834
